epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2958.52,0.82538,1.58113,0.8443,1.13691,0.72401,0.49862,0.56239,0.40378,0.7328,0.50117,0.56508,0.39176,1.13077,2.10162,1.29877,1.23765,0.0011288,0.0011288,0.0011288
46,3023.43,0.82961,1.58817,0.83739,1.13949,0.79281,0.46465,0.56739,0.40242,0.79552,0.46799,0.56836,0.38684,1.14115,2.09381,1.26368,1.2597,0.001109,0.001109,0.001109
47,3088.28,0.81132,1.56943,0.82197,1.12451,0.82906,0.48099,0.57464,0.41135,0.81022,0.48852,0.57066,0.38633,1.1674,2.1454,1.23971,1.28609,0.0010892,0.0010892,0.0010892
48,3157.52,0.81976,1.5628,0.82752,1.14025,0.74013,0.4876,0.56322,0.4029,0.71242,0.49819,0.56257,0.38537,1.11523,2.1487,1.29853,1.23084,0.0010694,0.0010694,0.0010694
49,3224.21,0.80066,1.54175,0.82025,1.12065,0.7857,0.49036,0.57352,0.40533,0.79521,0.49495,0.57607,0.39212,1.16846,2.12391,1.2783,1.26793,0.0010496,0.0010496,0.0010496
50,3291.06,0.78001,1.47918,0.776,1.11188,0.80982,0.47291,0.56916,0.40287,0.78957,0.47547,0.5644,0.38921,1.14302,2.14281,1.27149,1.26654,0.0010298,0.0010298,0.0010298
51,3357.58,0.77818,1.4818,0.7805,1.11146,0.80361,0.50138,0.58535,0.41765,0.81561,0.49403,0.58308,0.40308,1.10773,2.10555,1.24512,1.23889,0.00101,0.00101,0.00101
52,3428.18,0.77725,1.47,0.77842,1.10801,0.70012,0.48022,0.54317,0.38927,0.70106,0.48118,0.54635,0.37528,1.13165,2.18329,1.35005,1.24817,0.0009902,0.0009902,0.0009902
53,3500.43,0.76412,1.49198,0.76514,1.09993,0.77063,0.49055,0.56441,0.40577,0.75654,0.49954,0.55869,0.38902,1.09614,2.09744,1.24349,1.22414,0.0009704,0.0009704,0.0009704
54,3569.94,0.77968,1.47376,0.77994,1.11166,0.73842,0.50597,0.57135,0.41552,0.74349,0.51148,0.5733,0.39605,1.08991,2.169,1.236,1.22909,0.0009506,0.0009506,0.0009506
55,3640.65,0.77992,1.45943,0.77346,1.09974,0.80042,0.49679,0.58743,0.42401,0.79693,0.49371,0.58297,0.39976,1.0824,2.18578,1.19086,1.22061,0.0009308,0.0009308,0.0009308
56,3707.17,0.76158,1.47489,0.77215,1.10158,0.81384,0.49219,0.58289,0.42095,0.79928,0.50321,0.58182,0.40046,1.07631,2.08174,1.15251,1.20757,0.000911,0.000911,0.000911
57,3775.52,0.78207,1.49256,0.76554,1.09993,0.81201,0.49495,0.58068,0.42253,0.80575,0.49495,0.57756,0.39948,1.08828,2.14139,1.18617,1.22626,0.0008912,0.0008912,0.0008912
58,3841.83,0.75565,1.42154,0.73715,1.08512,0.76709,0.5023,0.57438,0.419,0.76188,0.51056,0.57831,0.40234,1.11466,2.16234,1.24595,1.23573,0.0008714,0.0008714,0.0008714
59,3909.49,0.74415,1.45681,0.73031,1.07987,0.84741,0.49036,0.58358,0.41227,0.81025,0.49797,0.58504,0.39521,1.13977,2.1823,1.21788,1.25266,0.0008516,0.0008516,0.0008516
60,3977.5,0.73245,1.42076,0.71966,1.07356,0.78044,0.50872,0.59037,0.42811,0.78616,0.51988,0.59474,0.40765,1.10372,2.10347,1.21465,1.24411,0.0008318,0.0008318,0.0008318
61,4044.94,0.74151,1.4047,0.73726,1.0811,0.77569,0.51056,0.5929,0.42807,0.77248,0.51607,0.58849,0.41136,1.06765,2.14928,1.18511,1.20746,0.000812,0.000812,0.000812
62,4111.15,0.74483,1.38147,0.70824,1.08309,0.66182,0.49219,0.53541,0.38817,0.68523,0.48176,0.53624,0.37228,1.15594,2.19122,1.43437,1.27605,0.0007922,0.0007922,0.0007922
63,4176.94,0.74197,1.44126,0.72318,1.0811,0.79435,0.50781,0.58595,0.42568,0.76958,0.51523,0.58614,0.40894,1.07253,2.13923,1.21239,1.20811,0.0007724,0.0007724,0.0007724
64,4244.17,0.73831,1.40167,0.71393,1.07178,0.77982,0.50737,0.59119,0.42876,0.78731,0.51791,0.59534,0.40995,1.10288,2.11931,1.19496,1.24334,0.0007526,0.0007526,0.0007526
65,4308.05,0.72167,1.36007,0.67991,1.07024,0.79831,0.49954,0.5747,0.41854,0.8105,0.49954,0.57387,0.39896,1.10269,2.20898,1.20849,1.23664,0.0007328,0.0007328,0.0007328
66,4375.02,0.73235,1.37113,0.69826,1.07304,0.81159,0.49587,0.58946,0.42994,0.81492,0.50321,0.58532,0.41048,1.07536,2.12927,1.19175,1.20789,0.000713,0.000713,0.000713
67,4442.59,0.71883,1.36333,0.69153,1.06589,0.82783,0.49128,0.59391,0.43022,0.82783,0.49128,0.59095,0.41182,1.08745,2.12163,1.18318,1.21845,0.0006932,0.0006932,0.0006932
68,4508.22,0.70428,1.33433,0.66767,1.06015,0.79383,0.49954,0.59312,0.42942,0.77866,0.50321,0.58946,0.405,1.10346,2.16717,1.22719,1.2328,0.0006734,0.0006734,0.0006734
69,4574.22,0.72291,1.36216,0.67275,1.05808,0.79325,0.4977,0.57436,0.41702,0.79707,0.50781,0.57794,0.399,1.11722,2.2077,1.21719,1.25358,0.0006536,0.0006536,0.0006536
70,4637.7,0.70766,1.30913,0.66733,1.06108,0.81573,0.49495,0.58834,0.42433,0.78912,0.50138,0.58805,0.40026,1.09917,2.14052,1.20249,1.25424,0.0006338,0.0006338,0.0006338
71,4703.12,0.6908,1.29415,0.66095,1.04272,0.83608,0.48118,0.58636,0.42541,0.79402,0.50138,0.58478,0.40432,1.10299,2.18836,1.19756,1.24515,0.000614,0.000614,0.000614
72,4768.44,0.69935,1.31981,0.64788,1.05652,0.77575,0.49954,0.58102,0.42224,0.7843,0.50505,0.58039,0.40588,1.09363,2.10846,1.26028,1.24836,0.0005942,0.0005942,0.0005942
73,4834.21,0.6827,1.31426,0.63658,1.04325,0.80258,0.49311,0.58101,0.42391,0.82537,0.49478,0.58226,0.40312,1.07704,2.15066,1.1892,1.22117,0.0005744,0.0005744,0.0005744
74,4904.38,0.69274,1.32159,0.63885,1.05067,0.74946,0.50818,0.58107,0.41614,0.76109,0.51607,0.58458,0.39815,1.09968,2.16334,1.24112,1.22631,0.0005546,0.0005546,0.0005546
75,4970.42,0.66,1.27168,0.61762,1.0298,0.82927,0.49128,0.57897,0.42527,0.8282,0.4977,0.58621,0.40264,1.07121,2.18057,1.22911,1.21882,0.0005348,0.0005348,0.0005348
76,5036.52,0.67129,1.28801,0.6164,1.03117,0.77481,0.51607,0.58419,0.42974,0.77452,0.51515,0.58604,0.40366,1.06873,2.13838,1.18645,1.22562,0.000515,0.000515,0.000515
77,5107.6,0.68195,1.31337,0.62908,1.03906,0.7626,0.52617,0.59254,0.4314,0.77516,0.52871,0.59227,0.40549,1.07148,2.14182,1.18754,1.22482,0.0004952,0.0004952,0.0004952
